BOM表用,,聚水潭-品类,,
大类,一级代码,一级品类,二级代码,二级品类
上衣,1,1上衣,11衬衫,衬衫
上衣,1,1上衣,12长袖T恤,长袖T恤
上衣,1,1上衣,13短袖T恤,短袖T恤
上衣,1,1上衣,14背心,背心
上衣,1,1上衣,15毛衣,毛衣
上衣,1,1上衣,16卫衣,卫衣
上衣,1,1上衣,17针织衫,针织衫
上衣,1,1上衣,18汉服衬衫,汉服衬衫
上衣,1,1上衣,19披肩,披肩
连衣裙,2,2裙装,21连衣裙,连衣裙
半身裙,2,2裙装,22半身裙,半身裙
连衣裙,2,2裙装,31马面裙,马面裙
裤装,2,2裙装,32 旗袍礼服,旗袍礼服
裤装,3,3裤装,23长裤,长裤
裤装,3,3裤装,24短裤,短裤
裤装,3,3裤装,25七分/九分裤,七分/九分裤
裤装,3,3裤装,26牛仔裤,牛仔裤
裤装,3,3裤装,27皮裤,皮裤
裤装,3,3裤装,38连体裤,连体裤
上衣,4,4外套,41外套,外套
上衣,4,4外套,42羽绒服,羽绒服
上衣,4,4外套,43马甲,马甲
上衣,4,4外套,44大衣,大衣
上衣,4,4外套,45风衣,风衣
上衣,4,4外套,46棉衣,棉衣
上衣,4,4外套,47毛呢,毛呢
上衣,4,4外套,48短外套,短外套
其他,5,5套装,51套装,套装
其他,6,6配饰,60鞋子,鞋子
其他,6,6配饰,61包包,包包
其他,6,6配饰,62腰带/腰封,腰带/腰封
其他,6,6配饰,63围巾/围脖,围巾/围脖
其他,6,6配饰,64项链,项链
其他,6,6配饰,65袜子/袜套,袜子/袜套
其他,6,6配饰,66手镯,手镯
其他,6,6配饰,67眼镜,眼镜
其他,6,6配饰,68手套,手套
其他,6,6配饰,69帽子,帽子
其他,6,6配饰,70耳环,耳环
